Botanical name,C for coastal,Coastal preference,Description,Common Name,Drainage Preferences,Drought tolerance,Flower description,Frost tolerance,G for groundcover,H for hardiness,Height average,Position preference,D for dappled,Soil type,T for tasmanian,Wet area plant,Average width,Wind resistance,Detailed Description
Thryptomene saxicola F. C. Payne,C,moderate coastal exposure,weeping habit -- used for cut flowers lovely small feature in a rockery,Rock Thryptomene,good drainage,drought tolerant,pink & white flowers in winter & spring,very frost hardy,,,1.0,part shade to full sun,,light clay to sandy soils,,,1.4,wind resistant,"Thryptomene saxicola F. C. Payne is well-regarded for weeping habit -- used for cut flowers lovely small feature in a rockery. It showcases pink & white flowers in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Veronica formosa,,mild coastal sites,prune frequently to maintain densisty,,moist well drained site,drought tolerant,pale blue flowers in spring,very frost & snow hardy,,H,1.75,part shade to full sun,,light clay to sandy soils,T,,1.5,very wind resistant,"Veronica formosa is well-regarded for prune frequently to maintain densisty. It showcases pale blue flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.75 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Viola hederacea,,mild coastal sites,matting container or border plant useful as a mass planted groundcover,Native Violet,grows well in wet sites,usually moisture reliant,white & violet purple most seasons summer autumn winter spring,very frost & snow hardy,G,,0.1,dappled shade,D,light clay to sandy soils,T,W,1.0,wind resistant,"Gardeners often choose Native Violet for matting container or border plant useful as a mass planted groundcover. It showcases white & violet purple most seasons summer autumn winter spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.1 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Westringia brevifolia,C,moderate coastal exposure,tough low screen very good for protection near the sea,Coastal Rosemary,very good drainage,very drought tolerant,white flowers in summer,frost hardy,,,2.0,prefers full sun,,light clay to sandy soils,T,,2.5,very wind resistant,"Westringia brevifolia is well-regarded for tough low screen very good for protection near the sea. It showcases white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Westringia fruticosa,C,severe coastal exposure,fast compact screen very good for protection near the sea,Coastal Rosemary,very good drainage,very drought tolerant,white flowers in summer,frost hardy,,,2.0,prefers full sun,,light clay to sandy soils,,,3.0,very wind resistant,"Westringia fruticosa is well-regarded for fast compact screen very good for protection near the sea. It showcases white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Westringia glabra,,moderate coastal exposure,fast compact screen - tip prune,,very good drainage,very drought tolerant,bluey mauve flowers in spring,frost hardy,,,1.7,prefers full sun,,light clay to sandy soils,,,2.0,very wind resistant,"Known for its fast compact screen - tip prune, Westringia glabra makes an excellent addition to any garden. fast compact screen - tip prune. It showcases bluey mauve flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Westringia Wynyabie Gem,C,severe coastal exposure,tip prune for a fast growing screen very good for protection near the sea,,very good drainage,very drought tolerant,mauve flowers in winter & spring,frost hardy,,,2.0,prefers full sun,,light clay to sandy soils,,,2.0,very wind resistant,"Westringia Wynyabie Gem is a remarkable plant admired for tip prune for a fast growing screen very good for protection near the sea. It showcases mauve flowers in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia Low Giant Candles ericifolia,C,moderate coastal exposure,very attractive small feature good bird attracting plant,,moist well drained site,usually tolerates dry periods,yellow cones - autumn winter spring,very frost hardy,,,1.7,prefers full sun,,light clay to sandy soils,,,2.0,some wind protection,"Banksia Low Giant Candles ericifolia is well-regarded for very attractive small feature good bird attracting plant. It showcases yellow cones - autumn winter spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia spinulosa pink,C,moderate coastal exposure,a lovely small feature very good bird attracting plant,,moist well drained site,usually tolerates dry periods,"yellowy orange, pink tips aut. & winter",frost hardy,,,1.5,prefers full sun,,light clay to sandy soils,,,1.5,wind resistant,"Known for its a lovely small feature very good bird attracting plant, Banksia spinulosa pink makes an excellent addition to any garden. a lovely small feature very good bird attracting plant. It showcases yellowy orange, pink tips aut. & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Boronia cymosa,,mild coastal sites,cut flower & foliage - prune frequently best in protected site with morning sun,,moist well drained site,usually moisture reliant,small pink flowers in spring,frost hardy,,,0.8,dappled shade,D,light clay to sandy soils,,,0.8,protect from strong winds,"Boronia cymosa (Boronia cymosa) is recognized for cut flower & foliage - prune frequently best in protected site with morning sun. It showcases small pink flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Gastrolobium sericeum cream Brachysema sericeum cream,C,moderate coastal exposure,fast groundcover for retainer wall good bird attracting plant,,very good drainage,drought tolerant,creamy yellow peas winter & spring,light frosts only,G,,0.2,part shade to full sun,,light clay to sandy soils,,,1.2,some wind protection,"Gastrolobium sericeum cream Brachysema sericeum cream is a remarkable plant admired for fast groundcover for retainer wall good bird attracting plant. It showcases creamy yellow peas winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.2 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Correa reflexa cream,C,severe coastal exposure,groundcover - can use on retainer walls also bird attracting,,very good drainage,drought tolerant,creamy yellow bells in winter & spring,very frost hardy,G,H,0.7,part shade to full sun,,light clay to sandy soils,T,,2.0,very wind resistant,"Correa reflexa cream is well-regarded for groundcover - can use on retainer walls also bird attracting. It showcases creamy yellow bells in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.7 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Melaleuca lateritia dwarf,,mild coastal sites,compact plant for a rockery tip prune for a mini hedge,,tolerates wet sites,usually moisture reliant,bright orange brushes spring & summer,very frost hardy,,,0.8,prefers full sun,,light clay to sandy soils,,W,1.4,wind resistant,"Gardeners often choose Melaleuca lateritia dwarf for compact plant for a rockery tip prune for a mini hedge. It showcases bright orange brushes spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Prostanthera Badja Peak,,protect in coastline sites,fast growing screen - prune often scented leaves - flowers prolificly,Mintbush,moist well drained site,usually tolerates dry periods,white flowers in summer,very frost & snow hardy,,H,2.25,part shade to full sun,,light clay to sandy soils,,,2.0,very wind resistant,"Mintbush (Prostanthera Badja Peak) is recognized for fast growing screen - prune often scented leaves - flowers prolificly. It showcases white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.25 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Ricinocarpus Bridal Star tuberculatus,,mild coastal sites,small open feature with white stars tip prune occasionally,,good drainage,usually tolerates dry periods,large white stars in spring,frost hardy,,,2.25,prefers full sun,,prefers sandy soils,,,1.5,wind resistant,"Known for its small open feature with white stars tip prune occasionally, Ricinocarpus Bridal Star tuberculatus makes an excellent addition to any garden. small open feature with white stars tip prune occasionally. It showcases large white stars in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.25 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Westringia Morning Light fruticosa variegated,C,severe coastal exposure,compact contrast foliage good for protecting other plants near the sea,W. fruticosa variegated,very good drainage,very drought tolerant,white flowers in summer,frost hardy,,,1.3,prefers full sun,,light clay to sandy soils,,,2.0,very wind resistant,"W. fruticosa variegated (Westringia Morning Light fruticosa variegated) is recognized for compact contrast foliage good for protecting other plants near the sea. It showcases white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.3 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Leptospermum macrocarpum,,mild coastal sites,contrast bronze leaves & large petals tip prune for density,,tolerates wet sites,usually moisture reliant,white & pink flowers summer & autumn,very frost & snow hardy,,H,1.5,part shade to full sun,,heavy clay or peat soils,,W,1.5,very wind resistant,"Known for its contrast bronze leaves & large petals tip prune for density, Leptospermum macrocarpum makes an excellent addition to any garden. contrast bronze leaves & large petals tip prune for density. It showcases white & pink flowers summer & autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea lissosperma,,protect in coastline sites,very tough plant prickly bird attracting plant,Needle Bush,good drainage,drought tolerant,white flowers in summer,very frost & snow hardy,,H,3.0,part shade to full sun,,light clay to sandy soils,T,,2.5,very wind resistant,"Gardeners often choose Needle Bush for very tough plant prickly bird attracting plant. It showcases white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 3.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Leptospermum glaucescens,,moderate coastal exposure,fast growing dense screen used for revegatation work,Smoky Tea Tree,tolerates wet sites,usually moisture reliant,white to light pink flowers in spring,very frost & snow hardy,,,2.0,prefers full sun,,light clay to sandy soils,T,W,2.0,wind resistant,"Known for its fast growing dense screen used for revegatation work, Smoky Tea Tree makes an excellent addition to any garden. fast growing dense screen used for revegatation work. It showcases white to light pink flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 2.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Allocasuarina monilifera Casuarina,C,moderate coastal exposure,good revegatation plant for poor soils,Necklace She Oak,very good drainage,very drought tolerant,small rusty red flowers in autumn,very frost & snow hardy,,H,2.5,part shade to full sun,,light clay to sandy soils,T,,3.0,very wind resistant,"Necklace She Oak (Allocasuarina monilifera Casuarina) is recognized for good revegatation plant for poor soils. It showcases small rusty red flowers in autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hedycarya angustifolia,,mild coastal sites,very good high screen,Austral Mulberry,moist well drained site,usually moisture reliant,green flowers in spring & yellow berries,frost hardy,,,5.0,dappled shade,D,light clay to sandy soils,,,3.5,wind resistant,"Austral Mulberry is a remarkable plant admired for very good high screen. It showcases green flowers in spring & yellow berries, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 5.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Boronia Carousel,,protect in coastline sites,cut flower & foliage - prune frequently best in protected site with morning sun,,moist well drained site,usually moisture reliant,red bells in spring,very frost hardy,,,1.75,dappled shade,D,light clay to sandy soils,,,1.5,wind resistant,"Gardeners often choose Boronia Carousel for cut flower & foliage - prune frequently best in protected site with morning sun. It showcases red bells in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 1.75 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Correa reflexa Clearview Giant,C,moderate coastal exposure,tip prune occasionally also bird attracting,,moist well drained site,drought tolerant,red bells with yellow tips winter & spring,frost hardy,,,0.6,dappled shade,D,light clay to sandy soils,,,0.8,wind resistant,"Gardeners often choose Correa reflexa Clearview Giant for tip prune occasionally also bird attracting. It showcases red bells with yellow tips winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.6 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Crowea exalata Southern Stars,C,moderate coastal exposure,"compact plant for containers, rockery, border cut flowers - flowering nearly all seasons",,good drainage,usually tolerates dry periods,"pink stars in summer, autumn & winter",frost hardy,,,0.8,part shade to full sun,,light clay to sandy soils,,,1.0,some wind protection,"Crowea exalata Southern Stars is well-regarded for compact plant for containers, rockery, border cut flowers - flowering nearly all seasons. It showcases pink stars in summer, autumn & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Crowea Poor. Ecstasy compact,C,moderate coastal exposure,"compact plant for containers, rockery, border sometimes flowering nearly all seasons",,good drainage,usually tolerates dry periods,pink star flowers in summer and autumn,frost hardy,,,0.6,part shade to full sun,,light clay to sandy soils,,,0.7,some wind protection,"Crowea Poor. Ecstasy compact (Crowea Poor. Ecstasy compact) is recognized for compact plant for containers, rockery, border sometimes flowering nearly all seasons. It showcases pink star flowers in summer and autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.6 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea lanigera mini prostrate,C,moderate coastal exposure,compact groundcover for retainer wall rockery or container - also bird attracting,,good drainage,drought tolerant,pink & cream spiders in winter,very frost & snow hardy,G,H,0.2,prefers full sun,,light clay to sandy soils,,,1.3,very wind resistant,"Grevillea lanigera mini prostrate is well-regarded for compact groundcover for retainer wall rockery or container - also bird attracting. It showcases pink & cream spiders in winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.2 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Wakiti Gem,,mild coastal sites,forms a compact low groundcover good bird attracting plant,,good drainage,usually tolerates dry periods,claret red toothbrush flowers in spring,frost hardy,G,,0.3,prefers full sun,,prefers sandy soils,,,1.5,wind resistant,"Gardeners often choose Grevillea Wakiti Gem for forms a compact low groundcover good bird attracting plant. It showcases claret red toothbrush flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Leptospermum Julie Ann rotundifolium prostrate,C,moderate coastal exposure,fast growing dense groundcover large petal flowers - tip prune,Lept. rotundifolium prostrate,tolerates wet sites,usually tolerates dry periods,light to deep pink in spring & summer,frost hardy,G,,0.3,part shade to full sun,,light clay to sandy soils,,W,1.4,very wind resistant,"Lept. rotundifolium prostrate is a remarkable plant admired for fast growing dense groundcover large petal flowers - tip prune. It showcases light to deep pink in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Leptospermum obovatum compact,,mild coastal sites,compact plant for a rockery tip prune for a mini hedge,,grows well in wet sites,usually moisture reliant,white flowers in spring,frost hardy,,,1.5,part shade to full sun,,heavy clay or peat soils,,W,2.0,very wind resistant,"Leptospermum obovatum compact is well-regarded for compact plant for a rockery tip prune for a mini hedge. It showcases white flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Zieria littoralis,C,moderate coastal exposure,compact contrast leaves slow growing - container or rockery,Dwarf Zieria,very good drainage,drought tolerant,pinky white flowers in spring,frost hardy,,,0.8,part shade to full sun,,prefers sandy soils,T,,1.2,wind resistant,"Known for its compact contrast leaves slow growing - container or rockery, Dwarf Zieria makes an excellent addition to any garden. compact contrast leaves slow growing - container or rockery. It showcases pinky white flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Ned Kelly Mason’s Hybrid,,mild coastal sites,may be difficult to grow in Tas. plant in a warm & well drained site,syn. G. Mason’s hybrid,very good drainage,drought tolerant,apricot ageing to red flowers most seasons summer autumn winter spring,frost hardy,,,1.7,prefers full sun,,prefers sandy soils,,,2.0,some wind protection,"Gardeners often choose syn. G. Mason’s hybrid for may be difficult to grow in tas. plant in a warm & well drained site. It showcases apricot ageing to red flowers most seasons summer autumn winter spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Gastrolobium sericeum black Brachysema sericeum black,C,moderate coastal exposure,fast groundcover for retainer wall good bird attracting plant,,very good drainage,drought tolerant,black pea flowers winter & spring,light frosts only,G,,0.6,part shade to full sun,,light clay to sandy soils,,,1.5,some wind protection,"Gardeners often choose Gastrolobium sericeum black Brachysema sericeum black for fast groundcover for retainer wall good bird attracting plant. It showcases black pea flowers winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.6 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Poa labillardieri,C,moderate coastal exposure,clumping habit creates attractive border mass revegatation work - attracts butterflies,Silver Tussock Grass,tolerates wet sites,drought tolerant,flower plumes in spring,very frost & snow hardy,,H,0.8,part shade to full sun,,light clay to sandy soils,T,W,1.0,very wind resistant,"Gardeners often choose Silver Tussock Grass for clumping habit creates attractive border mass revegatation work - attracts butterflies. It showcases flower plumes in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Cenarrhenes nitida,,protect in coastline sites,small feature in a sheltered garden edible purplish fruit - slow growth,Native Plum,moist well drained site,usually moisture reliant,small white flower racemes in late spring,very frost & snow hardy,,H,2.25,dappled shade,D,heavy clay or peat soils,T,,2.0,very wind resistant,"Native Plum is a remarkable plant admired for small feature in a sheltered garden edible purplish fruit - slow growth. It showcases small white flower racemes in late spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 2.25 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Adenanthos obovatus,C,moderate coastal exposure,bird attracting - useful in rockery maybe used for cut flowers,,very good drainage,drought tolerant,red flowers in spring & summer,frost hardy,,,0.7,prefers full sun,,prefers sandy soils,,,0.8,some wind protection,"Adenanthos obovatus (Adenanthos obovatus) is recognized for bird attracting - useful in rockery maybe used for cut flowers. It showcases red flowers in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Eremophila glabra,,protect in coastline sites,requires warm sheltered but sunny site attracts butterflies,,very good drainage,very drought tolerant,red flowers in late summer,frost hardy,,,0.7,prefers full sun,,prefers sandy soils,,,1.0,protect from strong winds,"Gardeners often choose Eremophila glabra for requires warm sheltered but sunny site attracts butterflies. It showcases red flowers in late summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea fililoba Ellendale Pool thelemanniana fililoba,C,moderate coastal exposure,showy flowers - use on retainer walls good bird attracting groundcover,Grev. thelemanniana fililoba,very good drainage,drought tolerant,bright red spiders in winter & spring,frost hardy,G,,0.6,part shade to full sun,,prefers sandy soils,,,2.5,some wind protection,"Known for its showy flowers - use on retainer walls good bird attracting groundcover, Grev. thelemanniana fililoba makes an excellent addition to any garden. showy flowers - use on retainer walls good bird attracting groundcover. It showcases bright red spiders in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.6 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Lasiopetalum behrii prostrate,C,moderate coastal exposure,lovely velvet contrast foliage trailing groundcover for retainer wall,Slender Velvet Cover,good drainage,very drought tolerant,soft pink flower in spring & summer,frost hardy,G,,0.2,part shade to full sun,,light clay to sandy soils,,,1.4,wind resistant,"Slender Velvet Cover is a remarkable plant admired for lovely velvet contrast foliage trailing groundcover for retainer wall. It showcases soft pink flower in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.2 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Correa reflexa Di’s Favourite,C,moderate coastal exposure,tip prune for density also attractingbird,,moist well drained site,drought tolerant,white tipped red bells in winter,very frost hardy,,,0.6,dappled shade,D,light clay to sandy soils,T,,0.8,wind resistant,"Correa reflexa Di’s Favourite is well-regarded for tip prune for density also attractingbird. It showcases white tipped red bells in winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.6 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Correa Redex,C,moderate coastal exposure,showy slender bells - tip prune also bird attracting,Slender Bells,good drainage,drought tolerant,slender red bells in autumn & winter,frost hardy,,,1.0,dappled shade,D,light clay to sandy soils,,,0.8,wind resistant,"Gardeners often choose Slender Bells for showy slender bells - tip prune also bird attracting. It showcases slender red bells in autumn & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Correa reflexa prostrate,C,severe coastal exposure,compact groundcover for retainer walls also bird attracting,,very good drainage,drought tolerant,red bells in winter & early spring,very frost hardy,G,H,0.3,dappled shade,D,light clay to sandy soils,T,,1.5,very wind resistant,"Known for its compact groundcover for retainer walls also bird attracting, Correa reflexa prostrate makes an excellent addition to any garden. compact groundcover for retainer walls also bird attracting. It showcases red bells in winter & early spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Goodenia ovata,,mild coastal sites,very fast growth - prune for density attracts butterflies,Hop Goodenia,tolerates wet sites,usually moisture reliant,yellow flowers in spring & summer,frost hardy,,,1.25,dappled shade,D,light clay to sandy soils,T,W,2.0,wind resistant,"Known for its very fast growth - prune for density attracts butterflies, Hop Goodenia makes an excellent addition to any garden. very fast growth - prune for density attracts butterflies. It showcases yellow flowers in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 1.25 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
